Optimisation Analysis 
============================ 

Objective: 		MaxENB
Objective: 		MinRisk
SolutionSpace: 			6912
Evaluated: 			6912
Shortlisted: 			15
Runtime(s): 			47

ID 	Location Finding	File Sharing	Report Syncing	Chat Protocol	Map Access	Hardware Platform	Connectivity	Database	Architectural Pattern	Data Exchange Format	ENB	Risk	Optimal
115	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Nexus I	sqLite	Peer-to-peer	XML	12.385366618800175	1.0	No
116	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Nexus I	sqLite	Peer-to-peer	Compressed XML	12.469182045823523	1.0	No
117	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Nexus I	sqLite	Peer-to-peer	Unformatted data	12.311421778111056	1.0	No
118	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Nexus I	sqLite	Client-Server	XML	13.050980858054935	1.0	No
119	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Nexus I	sqLite	Client-Server	Compressed XML	13.134796285078338	1.0	No
120	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Nexus I	sqLite	Client-Server	Unformatted data	12.977036017365878	1.0	No
121	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Nexus I	sqLite	Push-based	XML	12.594753592497408	1.0	No
122	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Nexus I	sqLite	Push-based	Compressed XML	12.678569019520772	1.0	No
123	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Nexus I	sqLite	Push-based	Unformatted data	12.520808751808397	1.0	No
124	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	MySQL	Peer-to-peer	XML	12.69156111985193	1.0	No
125	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	MySQL	Peer-to-peer	Compressed XML	12.775376546875364	1.0	No
126	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	MySQL	Peer-to-peer	Unformatted data	12.617616279162903	1.0	No
127	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	MySQL	Client-Server	XML	13.357175359106815	1.0	No
128	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	MySQL	Client-Server	Compressed XML	13.440990786130127	1.0	No
129	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	MySQL	Client-Server	Unformatted data	13.283230518417767	1.0	No
130	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	MySQL	Push-based	XML	12.900948093549255	1.0	No
131	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	MySQL	Push-based	Compressed XML	12.984763520572635	1.0	No
132	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	MySQL	Push-based	Unformatted data	12.82700325286015	1.0	No
133	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	sqLite	Peer-to-peer	XML	12.556584790932746	1.0	No
134	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	sqLite	Peer-to-peer	Compressed XML	12.64040021795606	1.0	No
135	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	sqLite	Peer-to-peer	Unformatted data	12.482639950243591	1.0	No
136	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	sqLite	Client-Server	XML	13.222199030187449	1.0	No
137	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	sqLite	Client-Server	Compressed XML	13.306014457210901	1.0	No
138	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	sqLite	Client-Server	Unformatted data	13.148254189498484	1.0	No
139	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	sqLite	Push-based	XML	12.765971764630054	1.0	No
140	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	sqLite	Push-based	Compressed XML	12.84978719165339	1.0	No
141	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	3G on Droid	sqLite	Push-based	Unformatted data	12.692026923940974	1.0	No
142	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	Bluetooth	MySQL	Peer-to-peer	XML	12.609566163870126	1.0	No
143	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	Bluetooth	MySQL	Peer-to-peer	Compressed XML	12.693381590893491	1.0	No
144	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	Bluetooth	MySQL	Peer-to-peer	Unformatted data	12.53562132318101	1.0	No
145	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	Bluetooth	MySQL	Client-Server	XML	13.27518040312489	1.0	No
146	GPS	OpenIntent	Explicit	XMPP (Open Fire)	On Demand (Google)	Droid (Motorola)	Bluetooth	MySQL	Client-Server	Compressed XML	13.358995830148281	1.0	No
